name,category,description,primary_user,status,skill_type,archetype,agent_pattern,risk_tier,action_mode,human_approval,delivery_wave,tooling_data,validation_focus,scheduled_agent
portfolio-risk-diversification-check,Capital Markets,"Assess concentration, factor, sector, geography, liquidity, and correlation exposures with transparent methods; present educational findings, not personalized investment advice.",Retail investor / portfolio analyst,existing (updated),Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
prospectus-plain-language-breakdown,Capital Markets,"Explain a prospectus in plain language, highlighting fees, strategy, liquidity, conflicts, risks, and investor obligations with page-level citations.",Retail investor / sales or compliance associate,existing (updated),Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
trade-confirmation-explainer,Capital Markets,Explain trade confirmations.,Retail investor,existing (no changes),Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R1 — informational,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
trade-break-resolver,Capital Markets,"Match trade records across systems, classify breaks, identify likely root causes, and stage approved repair instructions with full lineage.",Middle-office / trade-support analyst,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
post-trade-settlement-monitor,Capital Markets,"Monitor settlement status, fails, aging, cash or position impacts, and cutoffs; prioritize exceptions and draft escalation actions.",Settlement operations / middle office,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R2 — analytical or drafting support,Scheduled read-only; alert only,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
corporate-action-election-assistant,Capital Markets,"Validate eligible positions, deadlines, options, and instructions; prepare an election plan that requires authorized confirmation before submission.",Corporate-actions operations specialist,new,Workflow or orchestration skills,Orchestrate & resolve,Plan-validate-execute workflow agent,R4 — approval-gated action,Approval-gated write or submission,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 4 — gated orchestration,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Plan validation, permissions, approvals, idempotency, rollback, audit log, failure recovery",No by default
market-surveillance-alert-investigator,Capital Markets,"Investigate escalated trade or electronic-communications surveillance alerts using order, trade, message, market, account, and prior-case context; document evidence and disposition recommendations without autonomously closing substantive cases.",Market-surveillance investigator / compliance analyst,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Surveillance case platform, OMS/EMS, market/reference data, electronic communications archive, account/customer context, prior cases","Escalation provenance, entity and event resolution, evidence completeness, chronology, disposition consistency, no autonomous case closure",No by default
best-execution-reviewer,Capital Markets,"Evaluate execution quality, routing, venue, price, speed, and exception evidence against firm policies and applicable obligations.",Best-execution committee / compliance analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
transaction-reporting-quality-checker,Capital Markets,"Validate regulatory transaction-reporting completeness, timeliness, identifiers, field mappings, and reconciliations; package exceptions for remediation.",Regulatory reporting / operations analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
margin-collateral-optimizer,Capital Markets,"Analyze calls, eligible collateral, haircuts, concentration, liquidity, and funding cost; recommend allocations subject to treasury and operations approval.",Collateral manager / treasury analyst,new,Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
fixed-income-pricing-reviewer,Capital Markets,"Review fixed-income marks, comparables, spreads, liquidity adjustments, and fair-pricing exceptions with source-linked evidence.",Trading supervisor / valuation or compliance analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
communications-compliance-reviewer,Capital Markets,"Review public and internal communications for required disclosures, prohibited claims, supervision, retention, and escalation needs.",Registered principal / communications compliance analyst,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"OMS/EMS, market and reference data, post-trade/clearing, surveillance, communications archive, regulatory reporting","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
surveillance-alert-triager,Capital Markets,"Triage trade and electronic-communications surveillance alerts, resolve basic data issues, summarize evidence, prioritize risk, and package escalations without closing substantive cases.",Compliance surveillance triage analyst,new,Analysis and evaluation skills,Investigate & casework,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Surveillance alert queue, OMS/EMS, communications archive, market/reference data, account context, approved triage rules, case management","Priority precision/recall, evidence completeness, duplicate and data-quality handling, escalation consistency, prohibited closure and suppression tests",No by default
claim-denial-appeal-helper,Insurance,"Explain denial reasons, identify policy and evidence gaps, and draft an appeal package while clearly distinguishing administrative support from legal advice.",Policyholder / claims advocate,existing (updated),Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
claim-readiness-checker,Insurance,"Check claim completeness, coverage-relevant evidence, chronology, forms, deadlines, and missing items before submission or adjuster review.",Policyholder / claims intake specialist,existing (updated),Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
coverage-gap-analyzer,Insurance,"Compare stated needs and exposures with policy terms, limits, exclusions, deductibles, and endorsements; flag questions for a licensed professional.",Policyholder / agent or broker,existing (updated),Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
policy-document-explainer,Insurance,Explain policy documents.,Consumer (policyholder),existing (no changes),Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R1 — informational,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
policy-wording-comparator,Insurance,"Compare policy forms, endorsements, manuscript clauses, and versions against approved or filed forms; identify material wording changes, conflicts, gaps, and review questions with clause-level citations.",Insurance product counsel / underwriting / compliance,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Policy-form and endorsement repository, filed/approved forms, version metadata, clause parser, product rules, legal and compliance references","Version and form identity, clause alignment, material-change detection, filed-form comparison, citation coverage, legal-review handoff",No by default
premium-quote-comparator,Insurance,"Normalize quotes and compare premiums, deductibles, limits, exclusions, endorsements, and service factors without selecting coverage for the customer.",Consumer / agent or broker,existing (updated),Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
submission-intake-triager,Insurance,"Ingest broker emails, ACORD forms, PDFs, spreadsheets, and supporting documents; extract and normalize exposure data, reconcile inconsistencies, identify gaps, draft follow-up requests, and triage against approved appetite rules without binding, quoting, or declining the risk.",Commercial underwriter / underwriting assistant / broker operations,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Broker email, ACORD and PDF ingestion, OCR/document intelligence, policy administration, producer data, approved appetite rules, third-party exposure data","Extraction and normalization accuracy, completeness, gap detection, appetite-rule precision/recall, source traceability, no autonomous bind/quote/decline",No by default
underwriting-workbench-assistant,Insurance,"Compile entity, property, exposure, loss, catastrophe, financial, and third-party risk information into an underwriter-ready profile; apply approved rules, surface missing information and exceptions, and draft decision rationale for human underwriting.",Underwriter / underwriting manager,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Policy administration, submission data, exposure and loss history, catastrophe/property/financial data, underwriting rules, third-party risk sources","Risk-profile completeness, source freshness, rule application, exception detection, rationale traceability, no autonomous underwriting decision",No by default
claims-triage-assistant,Insurance,"Classify incoming claims by severity, complexity, urgency, coverage questions, and specialist needs; route recommendations require human confirmation.",Claims intake / claims operations,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
claims-file-reviewer,Insurance,"Review a claim file for policy and coverage evidence, chronology, missing documentation, severity, reserve support, decisions, and open issues; produce a source-linked analysis without making an autonomous coverage or reserve determination.",Claims adjuster / claims manager / coverage specialist,new,Analysis and evaluation skills,Analyze & review,Case agent + evidence bundle,R3 — regulated/control decision support,Read-only analysis,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Claims system, policy and endorsements, correspondence, medical/repair/adjuster evidence, payments, reserves, legal and recovery data","Coverage citation, chronology, missing-document detection, severity and reserve-support consistency, decision traceability, no autonomous coverage or reserve decision",No by default
claims-fraud-referral-assistant,Insurance,"Identify potential fraud indicators, assemble supporting evidence, and draft a referral without making a fraud finding or adverse customer decision.",SIU investigator / claims adjuster,new,Artifact-creation skills,Draft & package,Interactive production copilot,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, or system-of-record change",Wave 3 — regulated casework,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
reinsurance-treaty-interpreter,Insurance,"Interpret treaty wording, attachment, limits, exclusions, reinstatements, reporting, and recoverability questions with clause-level citations.",Reinsurance analyst / ceded claims specialist,new,Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
catastrophe-exposure-monitor,Insurance,"Monitor event footprints, policy and location exposure, accumulations, modeled loss ranges, data gaps, and operational response priorities.",Catastrophe risk / portfolio manager,new,System-interaction or operational skills,Monitor & alert,Scheduled monitor + human queue,R2 — analytical or drafting support,Scheduled read-only; alert only,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Freshness, precision/recall, threshold behavior, deduplication, escalation latency, no autonomous action",Yes — read-only monitoring only
reserving-analysis-assistant,Insurance,"Prepare reserve-development, severity, frequency, large-loss, and uncertainty analyses; document assumptions for actuarial review.",Actuary / reserving analyst,new,Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Template fidelity, completeness, source mapping, required approvals, no unsupported assertions",No by default
subrogation-opportunity-screener,Insurance,"Scan open and closed claims for missed recovery potential, responsible parties, supporting evidence, limitation dates, referral economics, and next actions; prepare a source-linked referral for specialist review.",Claims recovery / subrogation specialist,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Claims system, policy, liability and party data, correspondence, payments, recovery history, limitation rules, external records","Recovery-signal precision/recall, responsible-party resolution, limitation-date accuracy, evidence completeness, referral-economics accuracy",No by default
policy-renewal-reviewer,Insurance,"Compare expiring and proposed terms, exposures, claims, pricing, and material changes; draft renewal questions and customer explanations.",Underwriter / agent / account manager,new,Analysis and evaluation skills,Analyze & review,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 2 — analytical production,"Policy administration, claims, underwriting rules, document intelligence, actuarial/catastrophe data, producer systems","Calculation and rule accuracy, false positives/negatives, evidence traceability, edge-case coverage",No by default
chargeback-dispute-packager,Payments,"Assemble merchant-side chargeback representment evidence, reason-code-specific timelines, transaction data, and a concise narrative while validating network deadlines and required formats.",Merchant / merchant chargeback analyst,existing (updated),Artifact-creation skills,Draft & package,Interactive production copilot,R2 — analytical or drafting support,Draft-only; no system-of-record change,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Merchant order and fulfillment data, gateway/acquirer records, network reason codes and deadlines, evidence templates, case portal","Merchant-side reason-code accuracy, deadline compliance, evidence completeness, transaction identity, narrative fidelity, no unauthorized submission",No by default
dispute-operations-assistant,Payments,"Support issuer- and acquirer-side card disputes by applying current network rules, validating reason codes and deadlines, assembling evidence, and drafting case responses for authorized submission.",Issuer / acquirer disputes analyst,new,Artifact-creation skills,Draft & package,Case agent + evidence bundle,R3 — regulated/control decision support,Draft-only; no system-of-record change,"Required before any regulated decision, filing, customer commitment, trade, payment, posting, case closure, control attestation, or system-of-record change",Wave 3 — regulated casework,"Issuer/acquirer dispute case system, network rules and bulletins, transaction and authorization data, customer/merchant evidence, deadlines and response templates","Role and transaction identity, reason-code and deadline accuracy, evidence sufficiency, current-rule version, response fidelity, authorized submission",No by default
merchant-fee-optimizer,Payments,"Analyze interchange, assessments, processor pricing, downgrades, mix, and contract terms; recommend savings opportunities with transparent assumptions.",Merchant / payments finance analyst,existing (updated),Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Task completion, evidence quality, control adherence, reproducibility, reviewer acceptance",No by default
payment-failure-diagnoser,Payments,"Trace failed or delayed payments across initiation, authorization, routing, messaging, screening, clearing, and settlement; identify likely causes and route complex ISO 20022 investigation cases to the appropriate case workflow.",Consumer / merchant / payments operations analyst,existing (updated),Guidance or domain-expertise skills,Domain workflow,Interactive decision-support copilot,R2 — analytical or drafting support,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","End-to-end trace completeness, message and status interpretation, root-cause precision, safe routing to exception or repair workflow",No by default
settlement-report-summarizer,Payments,Summarize settlement reports.,Merchant / SMB,existing (no changes),Guidance or domain-expertise skills,Explain & summarize,Interactive decision-support copilot,R1 — informational,Read-only analysis,Required for external delivery or system-of-record change; otherwise reviewer sampling,Wave 1 — stabilize existing,"Gateway/processor/acquirer, fraud platform, settlement, network rules, ISO 20022 parser, case management, ledger","Source fidelity, citation coverage, completeness, plain-language accuracy, prohibited-advice checks",No by default
